layer,expert,count
3,77,4595
3,78,9453
3,79,1083
3,80,2169
3,81,6745
3,82,2265
3,83,19
3,84,3220
3,85,102
3,86,4404
3,87,1106
3,88,2807
3,89,8015
3,90,944
3,91,2939
3,92,2442
3,93,11647
3,94,2709
3,95,16
3,96,5
3,97,1226
3,98,367
3,99,465
3,100,1111
3,101,1474
3,102,1336
3,103,5321
3,104,7624
3,105,5454
3,106,9047
3,107,586
3,108,1388
3,109,1244
3,110,5
3,111,969
3,112,3534
3,113,2203
3,114,689
3,115,2364
3,116,5917
3,117,539
3,118,441
3,119,745
3,120,2690
3,121,4900
3,122,1794
3,123,6224
3,124,9083
3,125,910
3,126,555
3,127,14205
4,0,5618
4,1,2250
4,2,1987
4,3,0
4,4,1402
4,5,6888
4,6,6090
4,7,2272
4,8,2911
4,9,1828
4,10,8869
4,11,12106
4,12,468
4,13,1300
4,14,540
4,15,3839
4,16,2496
4,17,82
4,18,7419
4,19,1048
4,20,2975
4,21,11
4,22,10257
4,23,3604
4,24,29
4,25,5865
4,26,211
4,27,6882
4,28,14
4,29,1459
4,30,3756
4,31,975
4,32,2079
4,33,100
4,34,587
4,35,4
4,36,4
4,37,179
4,38,873
4,39,7810
4,40,9368
4,41,4
4,42,4
4,43,1153
4,44,469
4,45,1674
4,46,8658
4,47,2750
4,48,1542
4,49,29
4,50,5389
4,51,13537
4,52,5210
4,53,2333
4,54,13
4,55,2067
4,56,3802
4,57,12097
4,58,1810
4,59,116
4,60,7689
4,61,596
4,62,1
4,63,8403
4,64,2887
4,65,769
4,66,2
4,67,8242
4,68,547
4,69,36
4,70,11124
4,71,98
4,72,98
4,73,505
4,74,6226
4,75,1383
4,76,5778
4,77,4736
4,78,288
4,79,7813
4,80,66
4,81,2190
4,82,1221
4,83,1909
4,84,96
4,85,7201
4,86,4088
4,87,5730
4,88,3926
4,89,540
4,90,2750
4,91,6526
4,92,3442
4,93,1028
4,94,0
4,95,555
4,96,3478
4,97,2918
4,98,6472
4,99,3109
4,100,1361
4,101,7293
4,102,9046
4,103,2661
4,104,1247
4,105,4746
4,106,5344
4,107,1769
4,108,468
4,109,141
4,110,715
4,111,6787
4,112,893
4,113,11466
4,114,1686
4,115,5287
4,116,8302
4,117,33
4,118,2770
4,119,1455
4,120,1603
4,121,224
4,122,3111
4,123,151
4,124,510
4,125,0
4,126,277
4,127,292
5,0,4505
5,1,929
5,2,1861
5,3,63
5,4,7
5,5,16264
5,6,70
5,7,6468
5,8,623
5,9,754
5,10,2576
5,11,1238
5,12,6
5,13,751
5,14,9
5,15,4
5,16,5179
5,17,1027
5,18,7002
5,19,686
5,20,1850
5,21,141
5,22,5680
5,23,1555
5,24,2230
5,25,1162
5,26,104
5,27,0
5,28,0
5,29,52
5,30,6589
5,31,9221
5,32,974
5,33,5044
5,34,3620
5,35,44
5,36,436
5,37,4541
5,38,157
5,39,47
5,40,19
5,41,216
5,42,4601
5,43,782
5,44,300
5,45,930
5,46,246
5,47,5483
5,48,5921
5,49,6955
5,50,2
5,51,3997
5,52,1168
5,53,6922
5,54,5368
5,55,12373
5,56,1101
5,57,0
5,58,2761
5,59,7302
5,60,512
5,61,4457
5,62,363
5,63,3133
5,64,6413
5,65,108
5,66,4806
5,67,523
5,68,2401
5,69,55
5,70,74
5,71,8482
5,72,48
5,73,798
5,74,1481
5,75,9568
5,76,1314
5,77,6602
5,78,6754
5,79,26225
5,80,6298
5,81,1133
5,82,3463
5,83,2890
5,84,1150
5,85,27
5,86,1547
5,87,5713
5,88,101
5,89,293
5,90,5471
5,91,702
5,92,8
5,93,7599
5,94,1011
5,95,559
5,96,4324
5,97,11827
5,98,264
5,99,11746
5,100,1110
5,101,943
5,102,2666
5,103,7085
5,104,1045
5,105,6430
5,106,446
5,107,3934
5,108,4732
5,109,206
5,110,5094
5,111,7687
5,112,5938
5,113,2787
5,114,718
5,115,6469
5,116,3852
5,117,2494
5,118,86
5,119,93
5,120,98
5,121,2
5,122,4225
5,123,2246
5,124,1117
5,125,6103
5,126,5026
5,127,425
6,0,3672
6,1,4500
6,2,4
6,3,402
6,4,741
6,5,0
6,6,6779
6,7,1672
6,8,190
6,9,834
6,10,9324
6,11,204
6,12,71
6,13,11977
6,14,13236
6,15,7
6,16,746
6,17,956
6,18,1371
6,19,756
6,20,2745
6,21,10
6,22,18399
6,23,24396
6,24,3208
6,25,294
6,26,1211
6,27,116
6,28,257
6,29,68
6,30,928
6,31,1
6,32,114
6,33,218
6,34,7126
6,35,854
6,36,303
6,37,111
6,38,2038
6,39,6390
6,40,9
6,41,5339
6,42,2365
6,43,289
6,44,892
6,45,0
6,46,406
6,47,840
6,48,352
6,49,86
6,50,103
6,51,12
6,52,4437
6,53,1964
6,54,15168
6,55,2733
6,56,13775
6,57,16
6,58,5324
6,59,12
6,60,3
6,61,877
6,62,5743
6,63,12434
6,64,2906
6,65,1992
6,66,119
6,67,99
6,68,8
6,69,105
6,70,446
6,71,3041
6,72,346
6,73,34
6,74,145
6,75,5040
6,76,325
6,77,2791
6,78,810
6,79,3189
6,80,16
6,81,375
6,82,5
6,83,3796
6,84,1442
6,85,8496
6,86,6382
6,87,5090
6,88,2218
6,89,22086
6,90,10
6,91,105
6,92,37
6,93,6549
6,94,659
6,95,10
6,96,5659
6,97,9295
6,98,296
6,99,3805
6,100,19569
6,101,2076
6,102,2
6,103,4580
6,104,7239
6,105,4778
6,106,4
6,107,3007
6,108,372
6,109,13340
6,110,3821
6,111,434
6,112,31
6,113,11
6,114,122
6,115,7067
6,116,1811
6,117,184
6,118,1450
6,119,3661
6,120,968
6,121,21
6,122,588
6,123,1988
6,124,1161
6,125,9970
6,126,397
6,127,7429
7,0,97
7,1,25734
7,2,4068
7,3,1555
7,4,7860
7,5,20252
7,6,63
7,7,2009
7,8,3955
7,9,884
7,10,221
7,11,2166
7,12,300
7,13,21690
7,14,33
7,15,16
7,16,8
7,17,5535
7,18,2737
7,19,1503
7,20,2016
7,21,1695
7,22,106
7,23,2
7,24,2671
7,25,1318
7,26,5776
7,27,3775
7,28,104
7,29,744
7,30,397
7,31,1844
7,32,2900
7,33,11329
7,34,2388
7,35,4
7,36,603
7,37,11
7,38,1023
7,39,2061
7,40,9122
7,41,42
7,42,3
7,43,2809
7,44,4509
7,45,2679
7,46,667
7,47,3422
7,48,19242
7,49,4812
7,50,3996
7,51,2788
7,52,858
7,53,15912
7,54,7
7,55,2
7,56,1633
7,57,2
7,58,7329
7,59,2944
7,60,2816
7,61,2135
7,62,2144
7,63,543
7,64,23
7,65,17
7,66,430
7,67,611
7,68,9
7,69,137
7,70,1839
7,71,12
7,72,5934
7,73,6727
7,74,8349
7,75,1904
7,76,4239
7,77,3
7,78,9
7,79,131
7,80,7
7,81,589
7,82,6942
7,83,6179
7,84,135
7,85,50
7,86,1487
7,87,5176
7,88,4338
7,89,5344
7,90,0
7,91,5947
7,92,31
7,93,1168
7,94,1247
7,95,5540
7,96,73
7,97,11
7,98,1695
7,99,443
7,100,25835
7,101,540
7,102,6
7,103,328
7,104,57
7,105,5
7,106,10240
7,107,75
7,108,20196
7,109,3538
7,110,2264
7,111,3915
7,112,3935
7,113,323
7,114,13
7,115,396
7,116,1101
7,117,5
7,118,123
7,119,223
7,120,107
7,121,215
7,122,19
7,123,3763
7,124,3781
7,125,272
7,126,105
7,127,3191
8,0,825
8,1,0
8,2,4273
8,3,516
8,4,4123
8,5,1717
8,6,1884
8,7,2
8,8,4850
8,9,69
8,10,554
8,11,348
8,12,2
8,13,670
8,14,3464
8,15,2356
8,16,2125
8,17,4078
8,18,1368
8,19,2764
8,20,4062
8,21,6841
8,22,2536
8,23,1580
8,24,5183
8,25,3255
8,26,263
8,27,7109
8,28,6499
8,29,30
8,30,1639
8,31,15
8,32,10721
8,33,3019
8,34,0
8,35,15299
8,36,3454
8,37,1920
8,38,3862
8,39,5203
8,40,922
8,41,1637
8,42,24
8,43,247
8,44,22498
8,45,2606
8,46,559
8,47,22344
8,48,174
8,49,5
8,50,738
8,51,3864
8,52,183
8,53,3489
8,54,3981
8,55,7211
8,56,11194
8,57,2645
8,58,38
8,59,53
8,60,98
8,61,9879
8,62,556
8,63,1
8,64,4530
8,65,2813
8,66,2479
8,67,1338
8,68,2595
8,69,287
8,70,6750
8,71,12
8,72,5178
8,73,0
8,74,2268
8,75,115
8,76,3917
8,77,1772
8,78,1617
8,79,6599
8,80,2427
8,81,137
8,82,1321
8,83,1333
8,84,4658
8,85,112
8,86,5895
8,87,4904
8,88,190
8,89,336
8,90,13627
8,91,340
8,92,962
8,93,14
8,94,4949
8,95,6722
8,96,103
8,97,4
8,98,694
8,99,7238
8,100,10891
8,101,530
8,102,1456
8,103,2067
8,104,4211
8,105,1837
8,106,3371
8,107,42
8,108,13579
8,109,3063
8,110,473
8,111,270
8,112,1
8,113,504
8,114,184
8,115,1773
8,116,1512
8,117,591
8,118,365
8,119,0
8,120,0
8,121,4022
8,122,13381
8,123,3927
8,124,883
8,125,3360
8,126,86
8,127,9177
9,0,7985
9,1,3549
9,2,2875
9,3,0
9,4,199
9,5,10510
9,6,292
9,7,9215
9,8,321
9,9,4456
9,10,662
9,11,292
9,12,13
9,13,133
9,14,373
9,15,49
9,16,120
9,17,16106
9,18,17
9,19,408
9,20,14
9,21,138
9,22,5998
9,23,173
9,24,5284
9,25,3283
9,26,855
9,27,48
9,28,4529
9,29,0
9,30,0
9,31,19
9,32,7880
9,33,3678
9,34,448
9,35,14592
9,36,1
9,37,13891
9,38,392
9,39,219
9,40,2405
9,41,4311
9,42,3
9,43,6778
9,44,309
9,45,3130
9,46,141
9,47,28
9,48,7941
9,49,5724
9,50,812
9,51,1255
9,52,2967
9,53,746
9,54,7
9,55,2351
9,56,1740
9,57,159
9,58,337
9,59,28
9,60,6387
9,61,3
9,62,8444
9,63,128
9,64,640
9,65,5081
9,66,6951
9,67,1164
9,68,3455
9,69,347
9,70,270
9,71,9784
9,72,2
9,73,36
9,74,249
9,75,98
9,76,24014
9,77,320
9,78,215
9,79,3710
9,80,13175
9,81,1461
9,82,4377
9,83,4781
9,84,952
9,85,2515
9,86,8591
9,87,688
9,88,26
9,89,3314
9,90,1051
9,91,555
9,92,1762
9,93,2
9,94,5697
9,95,7
9,96,5818
9,97,16353
9,98,2644
9,99,14527
9,100,5107
9,101,19
9,102,9609
9,103,4711
9,104,2906
9,105,6984
9,106,2568
9,107,361
9,108,1518
9,109,854
9,110,4810
9,111,7579
9,112,2674
9,113,4340
9,114,883
9,115,89
9,116,3517
9,117,1978
9,118,403
9,119,3
9,120,3
9,121,0
9,122,2840
9,123,627
9,124,1045
9,125,1833
9,126,3
9,127,6169
10,0,102
10,1,190
10,2,3449
10,3,4054
10,4,5015
10,5,257
10,6,104
10,7,1071
10,8,59
10,9,1174
10,10,3844
10,11,4
10,12,780
10,13,6298
10,14,6112
10,15,1069
10,16,6913
10,17,0
10,18,26283
10,19,67
10,20,237
10,21,219
10,22,706
10,23,294
10,24,9
10,25,24383
10,26,4287
10,27,3736
10,28,37
10,29,227
10,30,8351
10,31,721
10,32,65
10,33,2807
10,34,465
10,35,5926
10,36,383
10,37,239
10,38,431
10,39,2277
10,40,10290
10,41,2914
10,42,240
10,43,1072
10,44,1
10,45,2966
10,46,415
10,47,1405
10,48,416
10,49,0
10,50,10915
10,51,2783
10,52,6437
10,53,386
10,54,271
10,55,2962
10,56,326
10,57,4361
10,58,381
10,59,152
10,60,26
10,61,4689
10,62,5487
10,63,913
10,64,5886
10,65,176
10,66,1572
10,67,272
10,68,1236
10,69,6618
10,70,4564
10,71,3529
10,72,348
10,73,6115
10,74,3194
10,75,3050
10,76,17927
10,77,271
10,78,620
10,79,0
10,80,3560
10,81,233
10,82,10118
10,83,6084
10,84,482
10,85,11660
10,86,547
10,87,1726
10,88,4968
10,89,168
10,90,1429
10,91,8636
10,92,974
10,93,0
10,94,12368
10,95,6983
10,96,1412
10,97,1776
10,98,4260
10,99,8870
10,100,782
10,101,866
10,102,332
10,103,5051
10,104,38
10,105,4550
10,106,6
10,107,6277
10,108,7097
10,109,3285
10,110,4954
10,111,126
10,112,387
10,113,5237
10,114,402
10,115,42
10,116,1529
10,117,0
10,118,591
10,119,4841
10,120,6969
10,121,330
10,122,440
10,123,7121
10,124,4403
10,125,1
10,126,3027
10,127,447
11,0,1724
11,1,1117
11,2,82
11,3,1486
11,4,176
11,5,1002
11,6,49
11,7,1173
11,8,5830
11,9,405
11,10,10
11,11,3360
11,12,2752
11,13,5867
11,14,805
11,15,126
11,16,9325
11,17,404
11,18,5897
11,19,74
11,20,1630
11,21,1391
11,22,1839
11,23,412
11,24,3752
11,25,3796
11,26,6331
11,27,77
11,28,663
11,29,8801
11,30,4105
11,31,301
11,32,252
11,33,3525
11,34,0
11,35,0
11,36,285
11,37,309
11,38,1180
11,39,1034
11,40,2019
11,41,8933
11,42,2825
11,43,8471
11,44,2
11,45,7731
11,46,12671
11,47,6333
11,48,1247
11,49,4912
11,50,6886
11,51,142
11,52,2300
11,53,4255
11,54,696
11,55,4477
11,56,2811
11,57,1
11,58,7406
11,59,7364
11,60,10290
11,61,5494
11,62,338
11,63,1054
11,64,348
11,65,515
11,66,5
11,67,3455
11,68,3195
11,69,7083
11,70,67
11,71,5656
11,72,2021
11,73,6119
11,74,18
11,75,324
11,76,570
11,77,108
11,78,6536
11,79,7630
11,80,0
11,81,1594
11,82,390
11,83,19
11,84,143
11,85,14030
11,86,5980
11,87,3636
11,88,2
11,89,5714
11,90,5452
11,91,1
11,92,4125
11,93,24
11,94,8703
11,95,4390
11,96,2471
11,97,7138
11,98,4656
11,99,8560
11,100,8293
11,101,3166
11,102,2799
11,103,2081
11,104,450
11,105,14562
11,106,11
11,107,3375
11,108,155
11,109,3851
11,110,109
11,111,5040
11,112,5
11,113,76
11,114,977
11,115,20590
11,116,5170
11,117,101
11,118,21
11,119,5
11,120,813
11,121,783
11,122,6442
11,123,43
11,124,495
11,125,2653
11,126,466
11,127,1
12,0,2427
12,1,38
12,2,18415
12,3,12
12,4,7061
12,5,0
12,6,797
12,7,3423
12,8,1949
12,9,2761
12,10,97
12,11,276
12,12,3362
12,13,2
12,14,7536
12,15,4092
12,16,1027
12,17,152
12,18,825
12,19,72
12,20,671
12,21,3561
12,22,530
12,23,333
12,24,3175
12,25,343
12,26,5797
12,27,6552
12,28,65
12,29,38
12,30,4370
12,31,102
12,32,8568
12,33,12
12,34,34260
12,35,1298
12,36,8226
12,37,312
12,38,5605
12,39,112
12,40,3522
12,41,356
12,42,9118
12,43,3083
12,44,300
12,45,44
12,46,23323
12,47,449
12,48,6
12,49,43
12,50,660
12,51,259
12,52,6055
12,53,7344
12,54,849
12,55,51
12,56,2710
12,57,246
12,58,4037
12,59,294
12,60,1055
12,61,14647
12,62,208
12,63,4807
12,64,4517
12,65,6422
12,66,1799
12,67,967
12,68,6154
12,69,6953
12,70,76
12,71,510
12,72,8
12,73,2374
12,74,2290
12,75,7270
12,76,2062
12,77,472
12,78,95
12,79,2036
12,80,6666
12,81,4
12,82,21
12,83,258
12,84,1
12,85,2571
12,86,0
12,87,11877
12,88,97
12,89,1666
12,90,4909
12,91,507
12,92,2060
12,93,1135
12,94,1244
12,95,2828
12,96,1128
12,97,3273
12,98,1
12,99,4802
12,100,5554
12,101,3262
12,102,4921
12,103,8297
12,104,0
12,105,1145
12,106,68
12,107,3829
12,108,310
12,109,75
12,110,432
12,111,501
12,112,220
12,113,599
12,114,4358
12,115,6599
12,116,1172
12,117,3714
12,118,4580
12,119,24
12,120,4176
12,121,10428
12,122,165
12,123,2310
12,124,3713
12,125,1017
12,126,1579
12,127,9395
13,0,3099
13,1,1257
13,2,10569
13,3,0
13,4,4650
13,5,18
13,6,6482
13,7,105
13,8,3781
13,9,1
13,10,21007
13,11,43
13,12,3913
13,13,1077
13,14,32
13,15,4126
13,16,4617
13,17,8
13,18,698
13,19,1264
13,20,1896
13,21,5021
13,22,1
13,23,1357
13,24,5606
13,25,1305
13,26,3167
13,27,74
13,28,5245
13,29,1647
13,30,30
13,31,1068
13,32,983
13,33,1190
13,34,245
13,35,589
13,36,4885
13,37,68
13,38,1587
13,39,36
13,40,15826
13,41,6079
13,42,1030
13,43,142
13,44,6595
13,45,4044
13,46,0
13,47,8726
13,48,92
13,49,1241
13,50,7
13,51,694
13,52,1699
13,53,63
13,54,3
13,55,6774
13,56,9
13,57,5487
13,58,2944
13,59,233
13,60,51
13,61,3620
13,62,3689
13,63,747
13,64,29
13,65,4998
13,66,7410
13,67,3114
13,68,1726
13,69,0
13,70,3
13,71,7657
13,72,25
13,73,2331
13,74,402
13,75,6826
13,76,4006
13,77,1076
13,78,9554
13,79,8614
13,80,2932
13,81,2760
13,82,5347
13,83,1741
13,84,739
13,85,1181
13,86,300
13,87,2457
13,88,126
13,89,3865
13,90,3
13,91,4443
13,92,7432
13,93,2446
13,94,0
13,95,7063
13,96,0
13,97,251
13,98,5828
13,99,0
13,100,27
13,101,11762
13,102,6288
13,103,3609
13,104,4020
13,105,2105
13,106,26150
13,107,2105
13,108,202
13,109,8241
13,110,171
13,111,28
13,112,10063
13,113,6158
13,114,6
13,115,3702
13,116,198
13,117,1318
13,118,1272
13,119,251
13,120,4409
13,121,5076
13,122,216
13,123,8534
13,124,1694
13,125,1057
13,126,231
13,127,5096
14,0,16
14,1,2812
14,2,152
14,3,28445
14,4,2106
14,5,21
14,6,1439
14,7,6211
14,8,3737
14,9,143
14,10,4175
14,11,387
14,12,305
14,13,0
14,14,2881
14,15,6059
14,16,8309
14,17,3963
14,18,5443
14,19,183
14,20,4439
14,21,658
14,22,3682
14,23,25753
14,24,344
14,25,5
14,26,505
14,27,365
14,28,6101
14,29,361
14,30,204
14,31,477
14,32,1667
14,33,2284
14,34,9789
14,35,69
14,36,308
14,37,229
14,38,11079
14,39,8885
14,40,1680
14,41,3
14,42,1254
14,43,2
14,44,13819
14,45,0
14,46,5
14,47,1725
14,48,5245
14,49,1075
14,50,300
14,51,5694
14,52,26
14,53,15078
14,54,1
14,55,25392
14,56,2
14,57,17771
14,58,199
14,59,728
14,60,5631
14,61,702
14,62,3792
14,63,269
14,64,3051
14,65,0
14,66,288
14,67,2752
14,68,8545
14,69,9609
14,70,2
14,71,1408
14,72,1096
14,73,1
14,74,208
14,75,572
14,76,9399
14,77,143
14,78,212
14,79,4117
14,80,3008
14,81,1966
14,82,3111
14,83,2831
14,84,3645
14,85,1651
14,86,570
14,87,1446
14,88,110
14,89,685
14,90,1120
14,91,115
14,92,3437
14,93,1887
14,94,601
14,95,5866
14,96,774
14,97,281
14,98,317
14,99,3144
14,100,2365
14,101,8123
14,102,1001
14,103,99
14,104,10
14,105,3879
14,106,0
14,107,170
14,108,10691
14,109,1746
14,110,8709
14,111,6477
14,112,10
14,113,57
14,114,26
14,115,8954
14,116,113
14,117,573
14,118,21
14,119,2911
14,120,8
14,121,836
14,122,57
14,123,83
14,124,4
14,125,2595
14,126,1346
15,0,2635
15,1,10137
15,2,742
15,3,11170
15,4,334
15,5,151
15,6,15393
15,7,12083
15,8,3465
15,9,821
15,10,319
15,11,627
15,12,322
15,13,50
15,14,39
15,15,422
15,16,16398
15,17,33214
15,18,202
15,19,259
15,20,5699
15,21,37
15,22,3
15,23,3074
15,24,204
15,25,1126
15,26,89
15,27,472
15,28,1540
15,29,3083
15,30,6164
15,31,1784
15,32,12027
15,33,1227
15,34,7144
15,35,3862
15,36,33
15,37,5888
15,38,506
15,39,104
15,40,21100
15,41,3061
15,42,19
15,43,1
15,44,213
15,45,3075
15,46,9
15,47,36
15,48,352
15,49,3386
15,50,5771
15,51,2597
15,52,3448
15,53,15
15,54,2185
15,55,3797
15,56,2080
15,57,4698
15,58,1508
15,59,1404
15,60,3323
15,61,1388
15,62,1
15,63,182
15,64,442
15,65,0
15,66,340
15,67,1
15,68,1550
15,69,7062
15,70,2549
15,71,6274
15,72,4917
15,73,160
15,74,2
15,75,1163
15,76,510
15,77,8540
15,78,3248
15,79,245
15,80,1963
15,81,27
15,82,7905
15,83,1462
15,84,131
15,85,5487
15,86,768
15,87,8558
15,88,150
15,89,12342
15,90,2352
15,91,5392
15,92,1
15,93,761
15,94,4844
15,95,4995
15,96,2237
15,97,0
15,98,10938
15,99,196
15,100,8653
15,101,3199
15,102,1008
15,103,1803
15,104,190
15,105,0
15,106,3926
15,107,723
15,108,2
15,109,165
15,110,1064
15,111,100
15,112,179
15,113,5
15,114,98
15,115,542
15,116,9671
15,117,450
15,118,58
15,119,2382
15,120,5340
15,121,12683
15,122,448
15,123,475
15,124,1
15,125,2706
15,126,1707
15,127,1628
16,0,3588
16,1,4785
16,2,3
16,3,2
16,4,1935
16,5,594
16,6,411
16,7,2420
16,8,4986
16,9,602
16,10,1273
16,11,7442
16,12,1348
16,13,4919
16,14,37797
16,15,2725
16,16,14125
16,17,46
16,18,1427
16,19,80
16,20,4761
16,21,100
16,22,2687
16,23,314
16,24,1063
16,25,1891
16,26,12207
16,27,1201
16,28,1218
16,29,4568
16,30,25251
16,31,2
16,32,71
16,33,1936
16,34,36
16,35,2303
16,36,171
16,37,5133
16,38,2
16,39,3881
16,40,4041
16,41,113
16,42,292
16,43,7849
16,44,1856
16,45,2454
16,46,404
16,47,17
16,48,498
16,49,278
16,50,3300
16,51,5509
16,52,4010
16,53,332
16,54,2231
16,55,3476
16,56,649
16,57,800
16,58,30
16,59,6
16,60,3709
16,61,1
16,62,193
16,63,93
16,64,171
16,65,2602
16,66,7
16,67,25
16,68,256
16,69,58
16,70,164
16,71,23
16,72,96
16,73,2300
